species,species_lemmatized
Acidimicrobium ferrooxidans,acidimicrobium ferrooxidan
Acidiphilium acidophilum,acidiphilium acidophilum
Acidiphilium aminilyticum,acidiphilium aminilyticum
Acidiphilium cryptum,acidiphilium cryptum
Acidiphilium multivorum,acidiphilium multivorum
Acidiphilium sp.,acidiphilium sp .
Acidipila dinghuensis,acidipila dinghuensis
Acidipila rosea,Acidipila rosea
Acidiplasma aeolicum,acidiplasma aeolicum
Acidiplasma cupricumulans,acidiplasma cupricumulans
Acidipropionibacterium acidipropionici,acidipropionibacterium acidipropionici
Acidipropionibacterium damnosum,acidipropionibacterium damnosum
Acidipropionibacterium jensenii,acidipropionibacterium jensenii
Acidipropionibacterium microaerophilum,acidipropionibacterium microaerophilum
Acidipropionibacterium olivae,acidipropionibacterium olivae
Acidipropionibacterium sp.,acidipropionibacterium sp .
Acidipropionibacterium thoenii,acidipropionibacterium thoenii
Acidipropionibacterium virtanenii,acidipropionibacterium virtanenii
Acidisoma sibiricum,acidisoma sibiricum
Acidisoma tundrae,acidisoma tundrae
Acidisphaera rubrifaciens,Acidisphaera rubrifaciens
Aciditerrimonas ferrireducens,aciditerrimonas ferrireducens
Acidithiobacillus albertensis,acidithiobacillus albertensis
Acidithiobacillus caldus,acidithiobacillus caldus
Acidithiobacillus ferrianus,Acidithiobacillus ferrianus
Acidithiobacillus ferridurans,acidithiobacillus ferriduran
Acidithiobacillus ferriphilus,acidithiobacillus ferriphilus
Acidithiobacillus ferrivorans,acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans,acidithiobacillus ferrooxidan
Acidithiobacillus sp.,acidithiobacillus sp .
Acidithiobacillus sulfuriphilus,acidithiobacillus sulfuriphilus
Acidithiobacillus thiooxidans,acidithiobacillus thiooxidans
Acidithrix ferrooxidans,acidithrix ferrooxidan
Acidobacterium ailaaui,acidobacterium ailaaui
Acidobacterium capsulatum,acidobacterium capsulatum
Acidobacterium sp.,acidobacterium sp .
Acidocella aluminiidurans,Acidocella aluminiidurans
Acidocella aquatica,Acidocella aquatica
Acidocella aromatica,acidocella aromatica
Acidomonas methanolica,Acidomonas methanolica
Acidothermus cellulolyticus,acidothermus cellulolyticus
Acidovorax anthurii,Acidovorax anthurii
Acidovorax avenae,Acidovorax avenae
Acidovorax caeni,Acidovorax caeni
Acidovorax carolinensis,acidovorax carolinensis
Acidovorax cattleyae,acidovorax cattleyae
Acidovorax citrulli,Acidovorax citrulli
Acidovorax defluvii,acidovorax defluvii
Acidovorax delafieldii,acidovorax delafieldii
Acidovorax facilis,Acidovorax facilis
Acidovorax kalamii,Acidovorax kalamii
Acidovorax lacteus,acidovorax lacteus
Acidovorax oryzae,acidovorax oryzae
Acidovorax radicis,acidovorax radicis
Acidovorax soli,Acidovorax soli
Acidovorax sp.,acidovorax sp .
Acidovorax temperans,acidovorax temperan
Acidovorax valerianellae,Acidovorax valerianellae
Acidovorax wautersii,Acidovorax wautersii
Aciduliprofundum boonei,aciduliprofundum boonei
Acinetobacter albensis,acinetobacter albensis
Acinetobacter apis,acinetobacter apis
Acinetobacter baumannii,acinetobacter baumannii
Acinetobacter baylyi,acinetobacter baylyi
Acinetobacter beijerinckii,acinetobacter beijerinckii
